"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"GAVIÃO PEIXOTO";"62308";"3516853";"876";"21,24";"205";"6,31";"253";"7,79"
"SP";"GENERAL SALGADO";"64394";"3516903";"1948";"23,28";"361";"5,62";"288";"4,49"
"SP";"GETULINA";"64416";"3517000";"2536";"31,42";"355";"6,41";"330";"5,97"
"SP";"GLICÉRIO";"64432";"3517109";"885";"22,87";"186";"6,23";"159";"5,33"
"SP";"GUAIMBÊ";"64475";"3517307";"1151";"24,38";"235";"6,58";"138";"3,87"
"SP";"GUAIÇARA";"64459";"3517208";"2269";"26,12";"435";"6,78";"529";"8,24"
"SP";"GUAPIARA";"64530";"3517604";"4115";"27,33";"694";"6,34";"590";"5,39"
"SP";"GUAPIAÇU";"64513";"3517505";"3409";"21,92";"847";"6,98";"786";"6,47"
"SP";"GUARACI";"64599";"3517901";"2116";"24,75";"351";"5,45";"216";"3,36"
"SP";"GUARANI D&apos;OESTE";"64610";"3518008";"285";"17,47";"62";"4,61";"28";"2,08"
"SP";"GUARANTÃ";"64637";"3518107";"1279";"24,71";"251";"6,44";"287";"7,37"
"SP";"GUARARAPES";"64653";"3518206";"4648";"19,88";"1224";"6,54";"979";"5,22"
"SP";"GUARAREMA";"64670";"3518305";"5444";"21,23";"1488";"7,37";"1281";"6,34"
"SP";"GUARATINGUETÁ";"64696";"3518404";"20343";"21,33";"4315";"5,75";"4419";"5,89"
"SP";"GUARAÇAÍ";"64572";"3517802";"1596";"24,01";"381";"7,54";"302";"5,98"
"SP";"GUAREÍ";"64718";"3518503";"1979";"20,76";"723";"9,57";"778";"10,30"
"SP";"GUARIBA";"64734";"3518602";"6637";"22,46";"1405";"6,13";"1487";"6,49"
"SP";"GUARUJÁ";"64750";"3518701";"47707";"20,24";"14727";"7,83";"13681";"7,28"
"SP";"GUARULHOS";"64777";"3518800";"148457";"16,01";"84456";"10,84";"55232";"7,09"
"SP";"GUARÁ";"64556";"3517703";"2605";"18,46";"741";"6,44";"626";"5,44"
"SP";"GUATAPARÁ";"61107";"3518859";"1399";"23,71";"282";"6,26";"281";"6,25"
"SP";"GUAÍRA";"64491";"3517406";"9749";"31,55";"1375";"6,50";"1536";"7,26"
"SP";"GUZOLÂNDIA";"64793";"3518909";"773";"21,79";"163";"5,88";"146";"5,26"
"SP";"GÁLIA";"64335";"3516606";"1345";"25,57";"259";"6,61";"160";"4,09"
"SP";"HERCULÂNDIA";"64815";"3519006";"1716";"23,76";"424";"7,70";"243";"4,41"
"SP";"HOLAMBRA";"61743";"3519055";"2115";"17,23";"587";"5,78";"534";"5,26"
"SP";"HORTOLÂNDIA";"61727";"3519071";"32678";"19,76";"9656";"7,28";"8309";"6,26"
"SP";"IACANGA";"64831";"3519105";"1861";"21,66";"386";"5,73";"355";"5,28"
"SP";"IACRI";"64858";"3519204";"1186";"23,12";"291";"7,38";"217";"5,50"
"SP";"IARAS";"61085";"3519253";"1432";"31,33";"160";"5,10";"174";"5,54"
"SP";"IBATÉ";"64874";"3519303";"6028";"22,93";"2077";"10,25";"2113";"10,43"
"SP";"IBIRAREMA";"64912";"3519501";"1134";"21,64";"287";"6,99";"272";"6,62"
"SP";"IBIRÁ";"64890";"3519402";"2101";"22,51";"503";"6,95";"419";"5,80"
"SP";"IBITINGA";"64939";"3519600";"10468";"23,69";"2665";"7,90";"2528";"7,50"
"SP";"IBIÚNA";"64955";"3519709";"15581";"24,59";"4523";"9,47";"3622";"7,58"
"SP";"ICÉM";"64971";"3519808";"1482";"23,44";"286";"5,91";"149";"3,08"
"SP";"IEPÊ";"64998";"3519907";"1378";"21,75";"243";"4,90";"173";"3,49"
"SP";"IGARAPAVA";"65030";"3520103";"6133";"28,64";"1034";"6,77";"1213";"7,93"
"SP";"IGARATÁ";"65056";"3520202";"2095";"23,03";"532";"7,60";"334";"4,77"
"SP";"IGARAÇU DO TIETÊ";"65013";"3520004";"3976";"21,22";"1483";"10,05";"1605";"10,87"
"SP";"IGUAPE";"65072";"3520301";"6962";"29,41";"1079";"6,46";"807";"4,82"
"SP";"ILHA COMPRIDA";"62006";"3520426";"4108";"32,13";"546";"6,29";"285";"3,29"
"SP";"ILHA SOLTEIRA";"61204";"3520442";"6396";"29,60";"1157";"7,61";"694";"4,56"
"SP";"ILHABELA";"65099";"3520400";"6851";"23,34";"1419";"6,31";"1431";"6,35"
"SP";"INDAIATUBA";"65110";"3520509";"38081";"20,18";"10805";"7,17";"9480";"6,29"
"SP";"INDIANA";"65137";"3520608";"634";"16,11";"197";"5,97";"169";"5,11"
"SP";"INDIAPORÃ";"65153";"3520707";"515";"17,23";"147";"5,94";"80";"3,24"
"SP";"INÚBIA PAULISTA";"65170";"3520806";"528";"17,42";"146";"5,83";"140";"5,60"
"SP";"IPAUSSU";"65196";"3520905";"2419";"22,51";"563";"6,76";"544";"6,53"
"SP";"IPERÓ";"65218";"3521002";"4860";"22,70";"1220";"7,37";"824";"4,98"
"SP";"IPEÚNA";"65234";"3521101";"1255";"22,23";"309";"7,04";"209";"4,76"
"SP";"IPIGUÁ";"62243";"3521150";"952";"21,75";"205";"5,98";"181";"5,29"
"SP";"IPORANGA";"65250";"3521200";"1009";"29,35";"153";"6,30";"92";"3,79"
"SP";"IPUÃ";"65277";"3521309";"2422";"21,08";"529";"5,83";"593";"6,54"
"SP";"IRACEMÁPOLIS";"65293";"3521408";"3193";"17,69";"1002";"6,75";"836";"5,62"
