"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"MONTE ALEGRE DO SUL";"67253";"3531209";"1412";"21,44";"234";"4,52";"115";"2,23"
"SP";"MONTE ALTO";"67270";"3531308";"9517";"24,91";"920";"3,21";"770";"2,68"
"SP";"MONTE APRAZÍVEL";"67296";"3531407";"4265";"23,92";"407";"3,00";"303";"2,23"
"SP";"MONTE AZUL PAULISTA";"67318";"3531506";"2794";"19,68";"326";"2,86";"263";"2,30"
"SP";"MONTE CASTELO";"67334";"3531605";"684";"19,61";"54";"1,93";"29";"1,03"
"SP";"MONTE MOR";"67377";"3531803";"11124";"23,45";"1295";"3,57";"851";"2,34"
"SP";"MONTEIRO LOBATO";"67350";"3531704";"888";"22,43";"82";"2,67";"46";"1,50"
"SP";"MONÇÕES";"67210";"3531001";"430";"21,05";"57";"3,53";"35";"2,17"
"SP";"MORRO AGUDO";"67393";"3531902";"4983";"23,53";"580";"3,58";"317";"1,96"
"SP";"MORUNGABA";"67415";"3532009";"2125";"19,75";"306";"3,54";"215";"2,49"
"SP";"MOTUCA";"61069";"3532058";"776";"21,69";"81";"2,89";"61";"2,18"
"SP";"MURUTINGA DO SUL";"67431";"3532108";"763";"21,85";"98";"3,59";"40";"1,47"
"SP";"NANTES";"62340";"3532157";"575";"24,60";"18";"1,02";"18";"1,02"
"SP";"NARANDIBA";"67458";"3532207";"912";"20,44";"62";"1,75";"45";"1,26"
"SP";"NATIVIDADE DA SERRA";"67474";"3532306";"1656";"27,62";"156";"3,60";"82";"1,89"
"SP";"NAZARÉ PAULISTA";"67490";"3532405";"3577";"23,78";"478";"4,17";"326";"2,84"
"SP";"NEVES PAULISTA";"67512";"3532504";"1745";"22,71";"194";"3,27";"152";"2,56"
"SP";"NHANDEARA";"67539";"3532603";"1604";"20,68";"140";"2,27";"98";"1,60"
"SP";"NIPOÃ";"67555";"3532702";"974";"24,67";"65";"2,19";"54";"1,81"
"SP";"NOVA ALIANÇA";"67571";"3532801";"1068";"20,50";"112";"2,70";"59";"1,43"
"SP";"NOVA CAMPINA";"61980";"3532827";"1588";"22,28";"94";"1,70";"95";"1,71"
"SP";"NOVA CANAÃ PAULISTA";"61425";"3532843";"542";"26,61";"40";"2,68";"43";"2,87"
"SP";"NOVA CASTILHO";"62367";"3532868";"269";"20,97";"12";"1,18";"16";"1,58"
"SP";"NOVA EUROPA";"67598";"3532900";"1777";"22,85";"161";"2,68";"123";"2,05"
"SP";"NOVA GRANADA";"67610";"3533007";"3936";"24,70";"389";"3,24";"247";"2,06"
"SP";"NOVA GUATAPORANGA";"67636";"3533106";"482";"24,28";"49";"3,26";"23";"1,53"
"SP";"NOVA INDEPENDÊNCIA";"67652";"3533205";"640";"19,70";"62";"2,38";"39";"1,49"
"SP";"NOVA LUZITÂNIA";"67679";"3533304";"491";"18,38";"59";"2,71";"27";"1,23"
"SP";"NOVA ODESSA";"67695";"3533403";"9573";"20,01";"1195";"3,12";"723";"1,89"
"SP";"NOVAIS";"61409";"3533254";"736";"20,05";"134";"4,57";"43";"1,46"
"SP";"NOVO HORIZONTE";"67717";"3533502";"7623";"25,22";"487";"2,15";"429";"1,90"
"SP";"NUPORANGA";"67733";"3533601";"1271";"21,39";"150";"3,21";"89";"1,91"
"SP";"OCAUÇU";"67750";"3533700";"606";"18,41";"89";"3,31";"51";"1,90"
"SP";"OLÍMPIA";"67792";"3533908";"10737";"24,68";"836";"2,55";"671";"2,05"
"SP";"ONDA VERDE";"67814";"3534005";"865";"20,90";"70";"2,14";"70";"2,14"
"SP";"ORIENTE";"67830";"3534104";"861";"17,16";"137";"3,30";"91";"2,19"
"SP";"ORINDIÚVA";"67857";"3534203";"1070";"21,37";"125";"3,18";"50";"1,27"
"SP";"ORLÂNDIA";"67873";"3534302";"7697";"24,29";"928";"3,87";"539";"2,24"
"SP";"OSASCO";"67890";"3534401";"121907";"20,71";"16344";"3,50";"9338";"2,00"
"SP";"OSCAR BRESSANE";"67911";"3534500";"583";"23,14";"40";"2,07";"21";"1,08"
"SP";"OSVALDO CRUZ";"67938";"3534609";"6559";"26,56";"500";"2,76";"380";"2,09"
"SP";"OURINHOS";"67954";"3534708";"19543";"24,17";"1656";"2,70";"1350";"2,20"
"SP";"OURO VERDE";"67970";"3534807";"1429";"23,25";"116";"2,46";"75";"1,59"
"SP";"OUROESTE";"62383";"3534757";"1557";"20,77";"176";"2,96";"95";"1,60"
"SP";"PACAEMBU";"67997";"3534906";"2413";"28,00";"159";"2,56";"114";"1,84"
"SP";"PALESTINA";"68012";"3535002";"2256";"24,54";"181";"2,61";"118";"1,70"
"SP";"PALMARES PAULISTA";"68039";"3535101";"1504";"19,15";"209";"3,29";"160";"2,52"
"SP";"PALMEIRA D&apos;OESTE";"68055";"3535200";"2165";"27,28";"132";"2,29";"116";"2,01"
"SP";"PALMITAL";"68071";"3535309";"4236";"24,54";"306";"2,35";"258";"1,98"
"SP";"PANORAMA";"68098";"3535408";"2462";"22,85";"243";"2,92";"157";"1,89"
"SP";"PARAGUAÇU PAULISTA";"68110";"3535507";"8452";"25,99";"628";"2,61";"538";"2,23"
"SP";"PARAIBUNA";"68136";"3535606";"3413";"23,93";"255";"2,35";"158";"1,46"
"SP";"PARANAPANEMA";"68179";"3535804";"3301";"23,15";"324";"2,96";"232";"2,11"
"SP";"PARANAPUÃ";"68195";"3535903";"593";"17,31";"55";"1,94";"56";"1,98"
"SP";"PARAPUÃ";"68217";"3536000";"2038";"24,67";"184";"2,96";"171";"2,75"
"SP";"PARAÍSO";"68152";"3535705";"725";"16,09";"160";"4,23";"95";"2,51"
"SP";"PARDINHO";"68233";"3536109";"1290";"22,55";"166";"3,75";"93";"2,10"
"SP";"PARIQUERA-AÇU";"68250";"3536208";"4054";"25,99";"352";"3,05";"276";"2,39"
"SP";"PARISI";"61824";"3536257";"573";"21,00";"73";"3,39";"17";"0,79"
"SP";"PATROCÍNIO PAULISTA";"68276";"3536307";"2640";"24,35";"178";"2,17";"159";"1,94"
"SP";"PAULICÉIA";"68292";"3536406";"1411";"23,72";"124";"2,73";"72";"1,59"
"SP";"PAULISTÂNIA";"62405";"3536570";"433";"22,71";"37";"2,51";"28";"1,90"
"SP";"PAULO DE FARIA";"68330";"3536604";"1681";"26,17";"175";"3,69";"40";"0,84"
"SP";"PAULÍNIA";"68314";"3536505";"16813";"19,99";"1804";"2,68";"1065";"1,58"
"SP";"PEDERNEIRAS";"68357";"3536703";"7671";"22,20";"779";"2,90";"623";"2,31"
"SP";"PEDRA BELA";"68373";"3536802";"1213";"23,27";"138";"3,45";"113";"2,83"
"SP";"PEDRANÓPOLIS";"68390";"3536901";"416";"17,84";"56";"2,92";"35";"1,83"
"SP";"PEDREGULHO";"68411";"3537008";"2269";"19,12";"287";"2,99";"172";"1,79"
"SP";"PEDREIRA";"68438";"3537107";"8013";"22,70";"1176";"4,31";"649";"2,38"
"SP";"PEDRINHAS PAULISTA";"61247";"3537156";"561";"20,19";"59";"2,66";"22";"0,99"
"SP";"PEDRO DE TOLEDO";"68454";"3537206";"2733";"32,43";"153";"2,69";"102";"1,79"
"SP";"PENÁPOLIS";"68470";"3537305";"12048";"25,43";"1084";"3,07";"702";"1,98"
"SP";"PEREIRA BARRETO";"68497";"3537404";"5847";"28,56";"409";"2,80";"294";"2,01"
"SP";"PEREIRAS";"68519";"3537503";"1767";"25,86";"153";"3,02";"125";"2,47"
"SP";"PERUÍBE";"68535";"3537602";"18150";"29,48";"1353";"3,12";"754";"1,73"
"SP";"PIACATU";"68551";"3537701";"1004";"21,46";"115";"3,13";"40";"1,09"
"SP";"PIEDADE";"68578";"3537800";"11166";"25,71";"997";"3,09";"993";"3,08"
"SP";"PILAR DO SUL";"68594";"3537909";"5540";"23,70";"540";"3,03";"485";"2,72"
"SP";"PINDAMONHANGABA";"68616";"3538006";"26743";"21,84";"3193";"3,34";"2291";"2,39"
"SP";"PINDORAMA";"68632";"3538105";"2707";"23,73";"281";"3,23";"208";"2,39"
"SP";"PINHALZINHO";"68675";"3538204";"2921";"24,88";"393";"4,46";"267";"3,02"
"SP";"PIQUEROBI";"68691";"3538303";"579";"19,52";"65";"2,72";"34";"1,43"
"SP";"PIQUETE";"68713";"3538501";"2115";"21,02";"212";"2,67";"149";"1,87"
"SP";"PIRACAIA";"68730";"3538600";"5214";"23,05";"554";"3,18";"386";"2,22"
"SP";"PIRACICABA";"68756";"3538709";"67918";"22,05";"7547";"3,14";"5157";"2,15"
"SP";"PIRAJU";"68772";"3538808";"6328";"26,43";"576";"3,27";"400";"2,27"
"SP";"PIRAJUÍ";"68799";"3538907";"4250";"26,20";"324";"2,71";"287";"2,39"
"SP";"PIRANGI";"68810";"3539004";"1979";"23,18";"219";"3,34";"167";"2,55"
